"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "symbol"
"FBgn0000003" 0 NA NA NA NA NA "7SLRNA:CR32864"
"FBgn0000008" 127.248941629714 0.00241266965026483 0.529786689885453 0.00455403976039202 0.996366414545562 0.999798828359795 "a"
"FBgn0000014" 3.67470713741501 -0.00585129979071842 2.786115741949 -0.00210016393167686 0.998324312855582 NA "abd-A"
"FBgn0000015" 0.857199328453821 -0.0903165928848667 5.72669036021157 -0.0157711674988361 0.987416950578741 NA "Abd-B"
"FBgn0000017" 6333.70378240906 0.245347884907898 0.256704452419461 0.955760145940103 0.339193427685316 0.999798828359795 "Abl"
"FBgn0000018" 684.490437269975 0.0897104871185407 0.322310917780278 0.278335241438197 0.780755025740628 0.999798828359795 "abo"
"FBgn0000022" 0.277172948157565 1.55535533864044 6.10726488258779 0.254672978582419 0.798975688188077 NA "ac"
"FBgn0000024" 10.4496776725255 0.286585533123477 1.64732281100156 0.173970475737682 0.861888665323672 0.999798828359795 "Ace"
"FBgn0000028" 0.277172948157565 1.55535533864044 6.10726488258779 0.254672978582419 0.798975688188077 NA "acj6"
"FBgn0000032" 1621.26842520062 0.105101362981147 0.295992308871873 0.35508139850567 0.722528611679518 0.999798828359795 "Acph-1"
"FBgn0000036" 1.45447456457733 0.907574886876422 4.22604963457067 0.214757271058087 0.82995656831246 NA "nAChRalpha1"
"FBgn0000037" 19.544753728821 0.155939197888446 1.21888793328092 0.127935631841641 0.898199912601873 0.999798828359795 "mAChR-A"
"FBgn0000038" 0 NA NA NA NA NA "nAChRbeta1"
"FBgn0000039" 0.277172948157565 1.55535533864044 6.10726488258779 0.254672978582419 0.798975688188077 NA "nAChRalpha2"
"FBgn0000042" 116328.204750313 0.011367880741322 0.26609618039691 0.0427209467056823 0.965923981754976 0.999798828359795 "Act5C"
"FBgn0000043" 42975.2855725303 -0.384839640424833 0.26019279905496 -1.47905569186619 0.139125430897186 0.999798828359795 "Act42A"
"FBgn0000044" 46.0262213257541 -0.529836213259161 0.850560480012465 -0.622925971415221 0.533333170219895 0.999798828359795 "Act57B"
"FBgn0000045" 12.33255910157 -0.0663810365376744 1.51166950093029 -0.0439124004928479 0.96497423067273 0.999798828359795 "Act79B"
"FBgn0000046" 35.1565684169153 -0.732201166898284 0.987546773651741 -0.741434417522076 0.45843008259255 0.999798828359795 "Act87E"
"FBgn0000047" 18.269656952592 -1.06573861604994 1.27594774506327 -0.835252556519932 0.403575523846572 0.999798828359795 "Act88F"
"FBgn0000052" 3277.00199430596 0.271140736025412 0.280840559222619 0.965461458900181 0.334313731207806 0.999798828359795 "Pfas"
"FBgn0000053" 2772.69477211556 -0.149324544864207 0.27234803692876 -0.54828573962979 0.583495717587245 0.999798828359795 "Gart"
"FBgn0000054" 983.171055596943 0.191553117523182 0.303474349397989 0.631200356482093 0.527909528917456 0.999798828359795 NA
"FBgn0000055" 0.30285343213869 -2.24165897453911 5.94809129844368 -0.376870303777221 0.70626999116373 NA "Adh"
"FBgn0000056" 0 NA NA NA NA NA "Adhr"
"FBgn0000057" 964.939050064888 0.176426496622455 0.296070146055301 0.595894246593513 0.551245877006918 0.999798828359795 "adp"
"FBgn0000061" 1.48858667671233 -2.88095352710006 4.44949351230044 -0.647478981402217 0.517321993494685 NA "al"
"FBgn0000063" 630.108745795047 -0.127668239071006 0.318086357916761 -0.401363453331172 0.68815255258787 0.999798828359795 "Mps1"
"FBgn0000064" 10780.9258712766 -0.214192248338532 0.242416479770578 -0.883571317186202 0.376927668279072 0.999798828359795 "Ald1"
"FBgn0000071" 383.443117640583 -2.71538794527508 0.392904092981904 -6.91107065000757 4.81009406778045e-12 3.93946704151219e-09 "Ama"
"FBgn0000075" 3.03450256148312 -0.388010542495552 2.9559530488816 -0.131264108759223 0.895566383139124 NA "amd"
"FBgn0000077" 333.733423343978 0.181255231594483 0.379963496869446 0.477033275795863 0.633338426580506 0.999798828359795 "amx"
"FBgn0000078" 35.5129810795557 1.36810484680031 0.94872444078366 1.44204659223308 0.149289230117571 0.999798828359795 "Amy-d"
"FBgn0000079" 158.633403627772 1.4308883915657 0.498369438541966 2.87113992333061 0.00408994442580772 0.239261748909752 "Amy-p"
"FBgn0000083" 7329.59685094243 0.185098153424013 0.253661384749058 0.729705680693681 0.465570108021681 0.999798828359795 "AnxB9"
"FBgn0000084" 2145.29607977655 0.335474776181176 0.267410514762393 1.25453098386674 0.209649071208095 0.999798828359795 "AnxB10"
"FBgn0000092" 16.2953342033541 -1.11805801398356 1.32266554447043 -0.845306675340369 0.39793963497463 0.999798828359795 "dyw"
"FBgn0000094" 31.3792546781534 -1.01112237604682 0.97216441183907 -1.04007343175014 0.29830578601344 0.999798828359795 "Anp"
"FBgn0000097" 4569.48551478406 -0.0821865460581251 0.264770176538525 -0.310407112812295 0.756251385858409 0.999798828359795 "aop"
"FBgn0000099" 2.20298371701043 -1.28205077036902 3.39299847370565 -0.377851855903969 0.705540648956296 NA NA
"FBgn0000100" 34395.7472283034 0.298373847258698 0.238666763033175 1.25016924630273 0.211237728508566 0.999798828359795 "RpLP0"
"FBgn0000108" 61.2299972577275 -0.493248330033441 0.81313116716057 -0.606603645209972 0.544113980563438 0.999798828359795 "Appl"
"FBgn0000109" 237.697947677494 -0.0663215486877606 0.472288262076863 -0.140425994065817 0.888323421040252 0.999798828359795 "Aprt"
"FBgn0000114" 5.42036891888049 0.0167673655322333 2.57075428930553 0.00652235244806802 0.994795952579232 0.999798828359795 "bru1"
